127.0.0.1, 2018-05-07 14:33:10, GET, /, HTTP/1.1, 303, 15.018763
127.0.0.1, 2018-05-07 14:33:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.247247
127.0.0.1, 2018-05-07 14:33:11, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001975
127.0.0.1, 2018-05-07 14:33:11, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002537
127.0.0.1, 2018-05-07 14:33:11, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002469
127.0.0.1, 2018-05-07 14:33:11, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004447
127.0.0.1, 2018-05-07 14:33:11, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000632
127.0.0.1, 2018-05-07 14:33:11, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000459
127.0.0.1, 2018-05-07 14:33:11, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001772
127.0.0.1, 2018-05-07 14:33:11, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000574
127.0.0.1, 2018-05-07 14:33:11, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000570
127.0.0.1, 2018-05-07 14:33:11, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000503
127.0.0.1, 2018-05-07 14:33:11, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001231
127.0.0.1, 2018-05-07 14:33:11, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001959
127.0.0.1, 2018-05-07 14:33:11, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000557
127.0.0.1, 2018-05-07 14:33:57, GET, /start/default/index, HTTP/1.1, 200, 0.107172
127.0.0.1, 2018-05-07 14:33:57, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.002508
127.0.0.1, 2018-05-07 14:33:57, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.004588
127.0.0.1, 2018-05-07 14:33:57, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000528
127.0.0.1, 2018-05-07 14:33:57, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002048
127.0.0.1, 2018-05-07 14:33:57, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.007017
127.0.0.1, 2018-05-07 14:33:57, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.013682
127.0.0.1, 2018-05-07 14:33:57, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.004171
127.0.0.1, 2018-05-07 14:33:57, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.005376
127.0.0.1, 2018-05-07 14:33:57, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.003067
127.0.0.1, 2018-05-07 14:33:57, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.002049
127.0.0.1, 2018-05-07 14:33:57, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.002189
127.0.0.1, 2018-05-07 14:33:57, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.003557
127.0.0.1, 2018-05-07 14:33:57, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001048
127.0.0.1, 2018-05-07 14:33:57, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000433
127.0.0.1, 2018-05-07 14:34:04, GET, /start/default/user/login, HTTP/1.1, 200, 0.035965
127.0.0.1, 2018-05-07 14:34:07, POST, /start/default/user/login, HTTP/1.1, 303, 0.025043
127.0.0.1, 2018-05-07 14:34:07, GET, /start/default/user/login, HTTP/1.1, 200, 0.032764
127.0.0.1, 2018-05-07 19:41:43, GET, /start/default/user/login, HTTP/1.1, 200, 0.082151
127.0.0.1, 2018-05-07 19:41:43, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.003860
127.0.0.1, 2018-05-07 19:41:43, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002751
127.0.0.1, 2018-05-07 19:41:43, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001033
127.0.0.1, 2018-05-07 19:41:43, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000834
127.0.0.1, 2018-05-07 19:41:43, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000534
127.0.0.1, 2018-05-07 19:41:43, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000256
127.0.0.1, 2018-05-07 19:41:43, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000343
127.0.0.1, 2018-05-07 19:41:43, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000473
127.0.0.1, 2018-05-07 19:41:43, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000296
127.0.0.1, 2018-05-07 19:41:43, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000473
127.0.0.1, 2018-05-07 19:41:43, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000370
127.0.0.1, 2018-05-07 19:41:43, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000489
127.0.0.1, 2018-05-07 19:41:46, GET, /start/default/index, HTTP/1.1, 200, 0.019992
