127.0.0.1, 2018-06-01 15:57:04, GET, /, HTTP/1.1, 303, 0.006058
127.0.0.1, 2018-06-01 15:57:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.310037
127.0.0.1, 2018-06-01 15:57:05, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000423
127.0.0.1, 2018-06-01 15:57:05, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001463
127.0.0.1, 2018-06-01 15:57:05, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002763
127.0.0.1, 2018-06-01 15:57:05, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003384
127.0.0.1, 2018-06-01 15:57:05, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002205
127.0.0.1, 2018-06-01 15:57:05, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.011737
127.0.0.1, 2018-06-01 15:57:05, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001529
127.0.0.1, 2018-06-01 15:57:05, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000672
127.0.0.1, 2018-06-01 15:57:05, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003876
127.0.0.1, 2018-06-01 15:57:05, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002838
127.0.0.1, 2018-06-01 15:57:05, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000516
127.0.0.1, 2018-06-01 15:57:05, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001429
127.0.0.1, 2018-06-01 15:57:05, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001286
127.0.0.1, 2018-06-01 15:57:05, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000715
127.0.0.1, 2018-06-01 15:57:07, GET, /admin/default/site, HTTP/1.1, 303, 0.138935
127.0.0.1, 2018-06-01 15:57:07, GET, /admin/default/index, HTTP/1.1, 200, 0.040380
127.0.0.1, 2018-06-01 15:57:11, POST, /admin/default/index, HTTP/1.1, 303, 0.018399
127.0.0.1, 2018-06-01 15:57:11, GET, /admin/default/site, HTTP/1.1, 200, 0.047578
127.0.0.1, 2018-06-01 15:57:11, POST, /admin/default/check_version, HTTP/1.1, 200, 0.240543
127.0.0.1, 2018-06-01 15:57:14, GET, /start/default/index, HTTP/1.1, 200, 0.101392
127.0.0.1, 2018-06-01 15:57:14, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.000512
127.0.0.1, 2018-06-01 15:57:14, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.002892
127.0.0.1, 2018-06-01 15:57:14, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000580
127.0.0.1, 2018-06-01 15:57:14, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001166
127.0.0.1, 2018-06-01 15:57:14, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000656
127.0.0.1, 2018-06-01 15:57:14, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.009614
127.0.0.1, 2018-06-01 15:57:14, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.004262
127.0.0.1, 2018-06-01 15:57:14, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000713
127.0.0.1, 2018-06-01 15:57:14, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.000613
127.0.0.1, 2018-06-01 15:57:14, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000904
127.0.0.1, 2018-06-01 15:57:14, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.001094
127.0.0.1, 2018-06-01 15:57:14, GET, /start/static/js/sugar.min.js, HTTP/1.1, 200, 0.002814
127.0.0.1, 2018-06-01 15:57:14, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000926
127.0.0.1, 2018-06-01 15:57:14, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.002416
